day,entry_px,exit_px,shares,ret_bp,pnl,qty,reason_out
2016-05-17,111.09,110.84,108.0,-22.5,-27.0,1,open
2016-05-18,109.33,108.78,109.8,-50.3,-60.37,1,open
2016-05-19,109.86,109.0,109.2,-79.2,-95.03,1,open
2016-05-20,108.99,109.27,110.1,25.2,30.28,1,open
2016-05-24,110.66,111.28,108.4,55.1,66.15,1,open
2016-05-25,112.98,113.27,106.2,24.8,29.74,1,open
2016-05-26,113.58,113.75,105.6,14.1,16.9,1,open
2016-05-27,113.5,113.52,105.7,0.9,1.06,1,open
2016-06-01,114.98,114.56,104.4,-37.4,-44.88,1,open
2016-06-02,115.83,115.45,103.6,-31.9,-38.33,1,open
2016-06-03,116.69,116.34,102.8,-29.1,-34.97,1,open
2016-06-07,117.27,117.26,102.3,-0.9,-1.02,1,open
2016-06-08,117.56,117.61,102.1,3.4,4.08,1,open
2016-06-09,118.48,117.91,101.3,-49.0,-58.74,1,open
2016-06-10,117.69,116.55,102.0,-97.7,-117.25,1,open
2016-06-14,114.81,114.36,104.5,-40.1,-48.08,1,open
2016-06-15,114.49,114.86,104.8,31.4,37.73,1,open
2016-06-16,114.6,113.69,104.7,-80.3,-96.33,1,open
2016-06-17,114.59,114.38,104.7,-19.2,-23.04,1,open
2016-06-21,115.36,115.31,104.0,-5.2,-6.24,1,open
2016-06-22,115.09,115.27,104.3,14.8,17.72,1,open
2016-06-23,114.63,115.78,104.7,99.4,119.34,1,open
2016-06-24,116.91,111.91,102.6,-427.7,-513.24,1,open
2016-06-28,108.72,109.64,110.4,84.6,101.55,1,open
2016-06-29,110.44,111.67,108.7,111.4,133.65,1,open
2016-06-30,112.92,113.08,106.3,13.3,15.94,1,open
2016-07-01,115.05,115.03,104.3,-0.9,-1.04,1,open
2016-07-06,113.73,112.5,105.5,-109.0,-130.83,1,open
2016-07-07,113.99,114.19,105.3,16.7,20.0,1,open
2016-07-08,114.23,115.22,105.0,85.8,102.95,1,open
2016-07-12,118.19,118.97,101.5,65.1,78.18,1,open
2016-07-13,119.74,120.28,100.2,45.1,54.11,1,open
2016-07-14,119.28,120.27,100.6,82.2,98.59,1,open
2016-07-15,119.41,119.86,100.5,37.7,45.22,1,open
2016-07-19,119.94,119.73,100.1,-17.5,-21.01,1,open
2016-07-20,119.28,119.53,100.6,20.1,24.14,1,open
2016-07-21,120.14,119.98,99.9,-14.1,-16.98,1,open
2016-07-22,119.55,119.53,100.4,-0.8,-1.0,1,open
2016-07-26,120.23,120.17,99.8,-5.8,-6.99,1,open
2016-07-27,120.85,120.97,99.3,9.1,10.92,1,open
2016-07-28,121.13,120.84,99.1,-23.9,-28.73,1,open
2016-07-29,120.86,120.67,99.3,-15.7,-18.86,1,open
2016-08-02,121.19,121.12,99.0,-5.0,-5.94,1,open
2016-08-03,119.49,119.34,100.4,-13.4,-16.07,1,open
2016-08-04,120.52,120.42,99.6,-9.1,-10.95,1,open
2016-08-05,120.58,121.31,99.5,60.5,72.65,1,open
2016-08-09,122.27,122.23,98.1,-2.5,-2.94,1,open
2016-08-10,122.41,122.34,98.0,-5.7,-6.86,1,open
2016-08-11,121.53,122.0,98.7,37.8,45.42,1,open
2016-08-12,122.13,121.81,98.3,-27.0,-32.42,1,open
2016-08-16,123.44,123.05,97.2,-32.4,-38.88,1,open
2016-08-17,122.41,122.4,98.0,-1.6,-1.96,1,open
2016-08-18,122.08,122.06,98.3,-2.5,-2.95,1,open
2016-08-19,122.99,122.72,97.6,-22.8,-27.32,1,open
2016-08-23,123.23,123.58,97.4,27.6,33.11,1,open
2016-08-24,124.13,123.91,96.7,-18.5,-22.23,1,open
2016-08-25,123.08,122.59,97.5,-40.6,-48.75,1,open
2016-08-26,123.33,123.38,97.3,3.2,3.89,1,open
2016-08-30,123.72,123.8,97.0,5.7,6.79,1,open
2016-08-31,123.97,123.75,96.8,-17.7,-21.3,1,open
2016-09-01,123.27,123.3,97.3,1.6,1.95,1,open
2016-09-02,123.34,123.98,97.3,51.1,61.29,1,open
2016-09-07,124.69,124.52,96.2,-14.4,-17.32,1,open
2016-09-08,125.44,125.28,95.7,-12.8,-15.31,1,open
2016-09-09,125.22,124.15,95.8,-85.5,-102.54,1,open
2016-09-13,122.95,122.03,97.6,-75.6,-90.76,1,open
2016-09-14,120.63,120.73,99.5,8.3,9.95,1,open
2016-09-15,120.62,120.65,99.5,1.7,1.99,1,open
2016-09-16,122.1,121.44,98.3,-54.9,-65.84,1,open
2016-09-20,122.72,123.17,97.8,36.7,44.0,1,open
2016-09-21,122.22,122.55,98.2,27.0,32.4,1,open
2016-09-22,123.95,124.67,96.8,57.3,68.73,1,open
2016-09-23,125.77,125.53,95.4,-19.1,-22.9,1,open
2016-09-27,123.28,123.14,97.3,-12.2,-14.6,1,open
2016-09-28,123.78,123.89,96.9,8.1,9.69,1,open
2016-09-29,124.72,124.59,96.2,-11.2,-13.47,1,open
2016-09-30,122.91,123.39,97.6,38.2,45.89,1,open
2016-10-04,123.85,124.0,96.9,11.3,13.56,1,open
2016-10-05,123.25,123.64,97.4,30.8,37.0,1,open
2016-10-06,124.0,123.72,96.8,-23.4,-28.06,1,open
2016-10-07,123.86,124.01,96.9,11.3,13.56,1,open
2016-10-11,124.3,124.0,96.5,-24.1,-28.96,1,open
2016-10-12,122.05,122.06,98.3,0.8,0.98,1,open
2016-10-13,121.94,120.95,98.4,-81.2,-97.42,1,open
2016-10-14,120.94,121.31,99.2,31.4,37.71,1,open
2016-10-18,120.33,121.48,99.7,96.4,115.69,1,open
2016-10-19,120.97,121.15,99.2,14.9,17.86,1,open
2016-10-20,121.49,121.12,98.8,-30.5,-36.54,1,open
2016-10-21,121.17,120.22,99.0,-79.2,-95.07,1,open
2016-10-25,121.88,121.78,98.5,-9.0,-10.83,1,open
2016-10-26,120.94,120.08,99.2,-71.1,-85.34,1,open
2016-10-27,119.8,120.08,100.2,23.4,28.05,1,open
2016-10-28,118.38,118.26,101.4,-11.0,-13.18,1,open
2016-11-01,118.52,118.62,101.2,8.4,10.12,1,open
2016-11-02,117.1,116.84,102.5,-23.1,-27.67,1,open
2016-11-03,115.62,115.88,103.8,21.6,25.95,1,open
2016-11-04,115.03,115.26,104.3,19.1,22.95,1,open
2016-11-08,118.58,118.27,101.2,-26.1,-31.37,1,open
2016-11-09,118.88,118.03,100.9,-70.7,-84.79,1,open
2016-11-10,122.58,124.23,97.9,133.8,160.54,1,open
2016-11-11,124.49,124.98,96.4,38.6,46.27,1,open
2016-11-15,129.17,128.81,92.9,-27.9,-33.44,1,open
2016-11-16,129.56,129.22,92.6,-26.2,-31.49,1,open
2016-11-17,129.62,129.91,92.6,22.4,26.85,1,open
2016-11-18,130.32,130.66,92.1,26.1,31.31,1,open
2016-11-22,131.65,132.09,91.2,33.4,40.11,1,open
2016-11-23,132.85,132.44,90.3,-30.9,-37.03,1,open
2016-11-25,133.65,133.69,89.8,3.7,4.49,1,open
2016-11-29,132.41,132.47,90.6,4.5,5.44,1,open
2016-11-30,132.31,132.88,90.7,43.1,51.69,1,open
2016-12-01,131.65,132.22,91.2,43.3,51.96,1,open
2016-12-02,130.94,130.88,91.6,-5.3,-6.41,1,open
2016-12-06,133.22,133.47,90.1,18.8,22.52,1,open
2016-12-07,134.66,134.56,89.1,-7.4,-8.91,1,open
2016-12-08,135.91,136.22,88.3,22.8,27.37,1,open
2016-12-09,138.09,138.37,86.9,19.6,23.46,1,open
2016-12-13,136.85,137.5,87.7,47.5,56.99,1,open
2016-12-14,136.88,136.38,87.7,-36.5,-43.83,1,open
2016-12-15,135.16,135.34,88.8,13.3,15.98,1,open
2016-12-16,136.22,136.31,88.1,7.3,8.81,1,open
2016-12-20,136.79,137.19,87.7,29.2,35.09,1,open
2016-12-21,137.97,137.81,87.0,-10.9,-13.05,1,open
2016-12-22,137.07,136.53,87.5,-40.1,-48.15,1,open
2016-12-23,135.35,135.43,88.7,5.2,6.21,1,open
2016-12-28,136.7,136.87,87.8,11.7,14.04,1,open
2016-12-29,135.25,135.27,88.7,0.7,0.89,1,open
2016-12-30,135.41,135.56,88.6,11.1,13.29,1,open
2017-01-04,135.59,136.03,88.5,32.5,38.94,1,open
2017-01-05,137.88,137.46,87.0,-30.5,-36.55,1,open
2017-01-06,136.19,136.43,88.1,17.6,21.15,1,open
2017-01-10,134.81,134.99,89.0,12.6,15.13,1,open
2017-01-11,136.16,136.22,88.1,5.1,6.17,1,open
2017-01-12,136.38,136.12,88.0,-18.3,-22.0,1,open
2017-01-13,135.31,135.62,88.7,22.9,27.49,1,open
2017-01-18,134.41,134.74,89.3,24.6,29.46,1,open
2017-01-19,134.87,135.1,89.0,17.8,21.35,1,open
2017-01-20,133.75,134.18,89.7,32.2,38.58,1,open
2017-01-24,133.92,134.31,89.6,28.4,34.05,1,open
2017-01-25,135.91,137.0,88.3,80.2,96.24,1,open
2017-01-26,137.31,137.27,87.4,-3.6,-4.37,1,open
2017-01-27,136.75,136.74,87.8,-0.7,-0.88,1,open
2017-01-31,134.38,133.83,89.3,-40.9,-49.12,1,open
2017-02-01,135.22,136.19,88.7,72.5,86.97,1,open
2017-02-02,135.26,135.28,88.7,1.5,1.77,1,open
2017-02-03,134.79,135.94,89.0,84.6,101.49,1,open
2017-02-07,135.85,135.81,88.3,-3.7,-4.42,1,open
2017-02-08,135.29,134.56,88.7,-54.0,-64.75,1,open
2017-02-09,135.06,135.22,88.9,12.6,15.1,1,open
2017-02-10,136.95,137.75,87.6,58.4,70.1,1,open
2017-02-14,138.37,137.88,86.7,-34.7,-41.63,1,open
2017-02-15,138.84,138.15,86.4,-49.7,-59.64,1,open
2017-02-16,139.62,139.41,86.0,-14.3,-17.19,1,open
2017-02-17,139.19,138.38,86.2,-58.2,-69.83,1,open
2017-02-22,140.22,139.97,85.6,-17.8,-21.4,1,open
2017-02-23,139.63,139.93,85.9,20.8,24.92,1,open
2017-02-24,138.75,137.44,86.5,-93.7,-112.44,1,open
2017-02-28,140.0,139.34,85.7,-47.1,-56.57,1,open
2017-03-01,137.88,139.62,87.0,125.5,150.56,1,open
2017-03-02,140.44,140.3,85.4,-10.0,-11.96,1,open
2017-03-03,138.82,138.77,86.4,-4.3,-5.19,1,open
2017-03-07,137.75,137.38,87.1,-26.9,-32.23,1,open
2017-03-08,136.78,137.25,87.7,33.6,40.36,1,open
2017-03-09,135.9,135.78,88.3,-8.1,-9.71,1,open
2017-03-10,135.38,136.25,88.6,65.0,78.01,1,open
2017-03-14,136.35,135.71,88.0,-47.7,-57.2,1,open
2017-03-15,135.63,136.28,88.5,47.9,57.51,1,open
2017-03-16,137.72,138.19,87.1,34.1,40.95,1,open
2017-03-17,137.98,138.1,87.0,8.7,10.44,1,open
2017-03-21,137.87,138.49,87.0,45.0,53.97,1,open
2017-03-22,134.06,133.69,89.5,-26.9,-32.23,1,open
