day,pnl,low,high,trades,halted
2017-08-22,323.4,-1.4,362.6,1,
2017-08-23,0.0,0.0,0.0,0,
2017-08-24,-191.0,-344.75,23.28,2,
2017-08-25,-184.8,-184.8,49.5,1,
2017-08-28,0.0,0.0,0.0,0,
2017-08-29,0.0,0.0,0.0,0,
2017-08-30,136.4,-55.02,246.45,1,
2017-08-31,0.0,0.0,0.0,0,
2017-09-01,0.0,0.0,0.0,0,
2017-09-05,120.75,-55.65,332.85,1,
2017-09-06,0.0,0.0,0.0,0,
2017-09-07,0.0,0.0,0.0,0,
2017-09-08,0.0,0.0,0.0,0,
2017-09-11,65.6,-11.2,109.6,1,
2017-09-12,0.0,0.0,0.0,0,
2017-09-13,0.0,0.0,0.0,0,
2017-09-14,0.0,0.0,0.0,0,
2017-09-15,0.0,0.0,0.0,0,
2017-09-18,-177.6,-177.6,0.0,1,
2017-09-19,0.0,0.0,0.0,0,
2017-09-20,-184.8,-184.8,23.1,1,
2017-09-21,-140.75,-292.55,76.5,2,
2017-09-22,0.0,0.0,0.0,0,
2017-09-25,-176.3,-176.3,166.05,1,
2017-09-26,0.0,0.0,0.0,0,
2017-09-27,0.0,0.0,0.0,0,
2017-09-28,-88.0,-130.0,0.0,1,
2017-09-29,168.75,-52.5,190.8,1,
2017-10-02,-356.4,-356.4,98.4,2,
2017-10-03,0.0,0.0,0.0,0,
2017-10-04,-176.4,-176.4,47.96,1,
2017-10-05,182.0,-8.75,246.75,1,
2017-10-06,0.0,0.0,0.0,0,
2017-10-09,0.0,0.0,0.0,0,
2017-10-10,0.0,0.0,0.0,0,
2017-10-11,0.0,0.0,0.0,0,
2017-10-12,0.0,0.0,0.0,0,
2017-10-13,0.0,0.0,0.0,0,
2017-10-16,-178.5,-178.5,0.0,1,
2017-10-17,0.0,0.0,0.0,0,
2017-10-18,0.0,0.0,0.0,0,
2017-10-19,-179.8,-179.8,50.75,1,
2017-10-20,-80.4,-80.4,0.0,1,
2017-10-23,173.25,-15.75,208.25,1,
2017-10-24,0.0,0.0,0.0,0,
2017-10-25,266.2,-106.92,772.2,1,
2017-10-26,0.0,0.0,0.0,0,
2017-10-27,218.7,-20.25,284.85,1,
2017-10-30,-113.75,-113.75,8.77,1,
2017-10-31,0.0,0.0,0.0,0,
2017-11-01,-186.3,-186.3,0.0,1,
2017-11-02,-341.0,-341.0,0.0,2,
2017-11-03,-8.75,-17.5,68.25,1,
2017-11-06,0.0,-114.51,71.75,1,
2017-11-07,-358.1,-358.1,10.4,2,
2017-11-08,0.0,0.0,0.0,0,
2017-11-09,-190.4,-190.4,29.58,1,
2017-11-10,0.0,0.0,0.0,0,
2017-11-13,0.0,0.0,0.0,0,
2017-11-14,-180.73,-180.73,23.87,1,
2017-11-15,-187.2,-187.2,0.0,1,
2017-11-16,100.82,-8.42,199.52,1,
2017-11-17,0.0,0.0,0.0,0,
2017-11-20,0.0,0.0,0.0,0,
2017-11-21,32.4,-20.25,113.4,1,
2017-11-22,0.0,0.0,0.0,0,
2017-11-24,0.0,0.0,0.0,0,
2017-11-27,0.0,0.0,0.0,0,
2017-11-28,474.0,-18.0,523.53,1,
2017-11-29,-354.16,-354.16,0.0,2,
2017-11-30,238.7,-71.5,408.1,1,
2017-12-01,-363.7,-363.7,212.75,2,
2017-12-04,0.0,0.0,0.0,0,
2017-12-05,-179.85,-179.85,89.1,1,
2017-12-06,-179.2,-179.2,4.8,1,
2017-12-07,-80.0,-173.12,230.2,2,
2017-12-08,0.0,0.0,0.0,0,
2017-12-11,-192.0,-249.0,36.06,2,
2017-12-12,-126.5,-126.5,0.0,1,
