day,pnl,low,high,trades,halted
2021-02-26,-195.84,-195.84,0.0,1,
2021-03-01,0.0,0.0,0.0,0,
2021-03-02,545.92,-108.64,548.96,1,
2021-03-03,217.12,-136.48,300.24,2,
2021-03-04,-91.68,-191.76,240.24,2,
2021-03-05,-197.44,-197.44,415.37,1,
2021-03-08,0.0,0.0,0.0,0,
2021-03-09,0.0,0.0,0.0,0,
2021-03-10,0.0,0.0,0.0,0,
2021-03-11,0.0,0.0,0.0,0,
2021-03-12,0.0,0.0,0.0,0,
2021-03-15,0.0,0.0,0.0,0,
2021-03-16,0.0,0.0,0.0,0,
2021-03-17,0.0,0.0,0.0,0,
2021-03-18,0.0,0.0,0.0,0,
2021-03-19,-42.24,-104.72,16.48,1,
2021-03-22,142.56,-43.92,279.28,1,
2021-03-23,0.0,0.0,0.0,0,
2021-03-24,0.0,0.0,0.0,0,
2021-03-25,0.0,0.0,0.0,0,
2021-03-26,-172.64,-172.64,8.88,1,
2021-03-29,-113.44,-113.44,48.08,1,
2021-03-30,0.0,0.0,0.0,0,
2021-03-31,151.36,0.0,196.88,1,
2021-04-01,0.0,0.0,0.0,0,
2021-04-05,0.0,0.0,0.0,0,
2021-04-06,-148.24,-148.24,0.0,1,
2021-04-07,0.0,0.0,0.0,0,
2021-04-08,0.0,0.0,0.0,0,
2021-04-09,0.0,0.0,0.0,0,
2021-04-12,0.0,0.0,0.0,0,
2021-04-13,47.36,-104.72,95.34,1,
2021-04-14,228.96,-19.92,265.68,1,
2021-04-15,0.0,0.0,0.0,0,
2021-04-16,-108.64,-108.64,8.08,1,
2021-04-19,14.56,-36.06,107.28,1,
2021-04-20,-7.44,-33.12,159.66,1,
2021-04-21,65.96,-75.92,75.28,1,
2021-04-22,-30.1,-111.12,56.88,1,
2021-04-23,429.12,-23.84,569.76,1,
2021-04-26,0.0,0.0,0.0,0,
2021-04-27,-74.88,-107.04,120.16,1,
2021-04-28,0.0,0.0,0.0,0,
2021-04-29,0.0,0.0,0.0,0,
2021-04-30,0.0,0.0,0.0,0,
2021-05-03,0.56,-81.7,8.08,1,
2021-05-04,76.56,-11.12,300.88,1,
2021-05-05,0.0,0.0,0.0,0,
2021-05-06,-282.1,-282.1,63.28,2,
2021-05-07,0.0,0.0,0.0,0,
2021-05-10,298.56,-26.32,325.68,1,
2021-05-11,0.0,0.0,0.0,0,
2021-05-12,0.0,0.0,0.0,0,
2021-05-13,0.0,0.0,0.0,0,
2021-05-14,0.0,0.0,0.0,0,
2021-05-17,0.0,0.0,0.0,0,
2021-05-18,0.0,0.0,0.0,0,
2021-05-19,0.0,0.0,0.0,0,
2021-05-20,193.76,0.0,264.48,1,
2021-05-21,0.0,0.0,0.0,0,
