,ONA,ONB,combined
2021-01-29,55.2,-169.04,-113.83999999999999
2021-02-01,0.0,0.0,0.0
2021-02-02,138.41,186.54,324.95
2021-02-03,1.12,-60.71,-59.59
2021-02-04,43.68,41.92,85.6
2021-02-05,121.82,122.16,243.98
2021-02-08,0.0,0.0,0.0
2021-02-09,-11.09,-45.44,-56.53
2021-02-10,75.11,87.18,162.29000000000002
2021-02-11,62.93,35.09,98.02000000000001
2021-02-12,-40.24,-32.89,-73.13
2021-02-16,0.0,0.0,0.0
2021-02-17,-115.32,-72.14,-187.45999999999998
2021-02-18,-97.98,-139.46,-237.44
2021-02-19,101.74,0.73,102.47
2021-02-22,0.0,0.0,0.0
2021-02-23,-151.77,-37.94,-189.71
2021-02-24,41.12,-54.69,-13.57
2021-02-25,-17.44,12.55,-4.890000000000001
2021-02-26,51.61,25.63,77.24
2021-03-01,0.0,0.0,0.0
2021-03-02,-21.22,6.56,-14.66
2021-03-03,40.05,-22.69,17.359999999999996
2021-03-04,-45.97,11.76,-34.21
2021-03-05,200.28,207.95,408.23
2021-03-08,0.0,0.0,0.0
2021-03-09,196.31,79.49,275.8
2021-03-10,122.53,135.71,258.24
2021-03-11,119.33,93.18,212.51
2021-03-12,-11.89,23.33,11.439999999999998
2021-03-15,0.0,0.0,0.0
2021-03-16,-25.09,-16.72,-41.81
2021-03-17,-82.77,21.68,-61.089999999999996
2021-03-18,-85.71,-35.46,-121.16999999999999
2021-03-19,-43.14,-92.87,-136.01
2021-03-22,0.0,0.0,0.0
2021-03-23,-115.06,-69.58,-184.64
2021-03-24,148.66,80.19,228.85
2021-03-25,-161.25,-107.15,-268.4
2021-03-26,121.81,94.48,216.29000000000002
2021-03-29,0.0,0.0,0.0
2021-03-30,-7.83,-46.46,-54.29
2021-03-31,58.33,-16.69,41.64
2021-04-01,77.67,39.71,117.38
2021-04-05,135.09,170.01,305.1
2021-04-06,0.0,-39.11,-39.11
2021-04-07,-8.83,-15.13,-23.96
2021-04-08,63.1,-8.94,54.160000000000004
2021-04-09,-11.32,36.37,25.049999999999997
2021-04-12,0.0,0.0,0.0
2021-04-13,-16.78,-65.41,-82.19
2021-04-14,35.26,-3.41,31.849999999999998
2021-04-15,90.79,86.54,177.33
2021-04-16,57.78,87.16,144.94
2021-04-19,0.0,0.0,0.0
2021-04-20,-56.81,-96.51,-153.32
2021-04-21,-21.53,-38.09,-59.620000000000005
2021-04-22,35.58,-16.17,19.409999999999997
2021-04-23,61.18,-28.57,32.61
2021-04-26,0.0,0.0,0.0
2021-04-27,31.04,-23.68,7.359999999999999
2021-04-28,-24.68,-44.67,-69.35
2021-04-29,100.66,95.15,195.81
2021-04-30,-126.27,-120.85,-247.12
2021-05-03,0.0,0.0,0.0
2021-05-04,-80.15,-79.56,-159.71
2021-05-05,49.43,47.82,97.25
2021-05-06,9.17,34.26,43.43
2021-05-07,-9.16,-24.63,-33.79
2021-05-10,0.0,0.0,0.0
2021-05-11,-261.12,-185.19,-446.31
2021-05-12,-110.65,-94.57,-205.22
2021-05-13,78.15,15.06,93.21000000000001
2021-05-14,117.9,125.67,243.57
2021-05-17,0.0,0.0,0.0
2021-05-18,-0.54,8.03,7.489999999999999
2021-05-19,-202.67,-238.02,-440.69
2021-05-20,13.21,12.87,26.08
2021-05-21,99.53,47.82,147.35
2021-05-24,0.0,0.0,0.0
2021-05-25,41.18,45.47,86.65
2021-05-26,43.78,22.79,66.57
2021-05-27,84.3,136.01,220.31
2021-05-28,70.71,120.83,191.54
2021-06-01,0.0,0.0,0.0
2021-06-02,35.23,49.19,84.41999999999999
2021-06-03,-84.59,-117.68,-202.27
2021-06-04,54.05,65.8,119.85
2021-06-07,0.0,0.0,0.0
2021-06-08,34.88,3.98,38.86
2021-06-09,29.88,11.79,41.67
2021-06-10,12.45,111.38,123.83
2021-06-11,49.19,62.66,111.85
2021-06-14,0.0,0.0,0.0
2021-06-15,1.04,2.0,3.04
2021-06-16,-40.1,-6.03,-46.13
2021-06-17,-37.06,-16.88,-53.94
2021-06-18,-192.16,-296.09,-488.25
2021-06-21,0.0,0.0,0.0
2021-06-22,-34.91,-4.07,-38.98
2021-06-23,-6.31,0.0,-6.31
2021-06-24,64.5,126.96,191.45999999999998
2021-06-25,16.56,106.92,123.48
2021-06-28,0.0,0.0,0.0
2021-06-29,38.53,73.79,112.32000000000001
2021-06-30,-40.81,-36.89,-77.7
2021-07-01,71.14,51.34,122.48
2021-07-02,26.96,41.83,68.78999999999999
2021-07-06,0.0,0.0,0.0
2021-07-07,-21.25,-14.63,-35.88
2021-07-08,-242.9,-292.31,-535.21
2021-07-09,123.88,140.23,264.11
2021-07-12,0.0,0.0,0.0
2021-07-13,-77.82,-38.11,-115.92999999999999
2021-07-14,70.14,71.16,141.3
2021-07-15,-60.85,-108.58,-169.43
2021-07-16,114.65,46.66,161.31
2021-07-19,0.0,0.0,0.0
2021-07-20,18.13,27.75,45.879999999999995
2021-07-21,63.23,122.63,185.85999999999999
2021-07-22,-38.35,-18.5,-56.85
2021-07-23,72.49,113.59,186.07999999999998
2021-07-26,0.0,0.0,0.0
2021-07-27,-68.65,-95.55,-164.2
2021-07-28,65.05,19.68,84.72999999999999
2021-07-29,99.4,102.7,202.10000000000002
2021-07-30,-49.59,-66.86,-116.45
2021-08-02,0.0,0.0,0.0
2021-08-03,34.37,44.89,79.25999999999999
2021-08-04,-101.57,-102.18,-203.75
2021-08-05,51.72,56.85,108.57
2021-08-06,84.81,61.66,146.47
2021-08-09,0.0,0.0,0.0
2021-08-10,22.68,14.41,37.09
2021-08-11,18.86,74.33,93.19
2021-08-12,1.07,11.01,12.08
2021-08-13,-10.76,37.55,26.79
2021-08-16,0.0,0.0,0.0
2021-08-17,-135.28,-174.14,-309.41999999999996
2021-08-18,-19.96,-81.25,-101.21000000000001
2021-08-19,-120.81,-188.51,-309.32
2021-08-20,5.66,-34.88,-29.220000000000002
2021-08-23,0.0,0.0,0.0
2021-08-24,33.87,36.44,70.31
2021-08-25,-3.79,-0.65,-4.44
2021-08-26,-28.03,22.73,-5.300000000000001
