day,side,qty,entry_ts,entry_px,exit_ts,exit_px,stop_px,pnl,reason_in,reason_out
2020-03-03,-1,7,2020-03-03 10:30:00-06:00,212.661,2020-03-03 10:58:00-06:00,215.459,215.44,-195.86,short: close 212.69 < lower 214.02,stop
2020-03-19,1,6,2020-03-19 09:30:00-05:00,179.62900000000002,2020-03-19 09:47:00-05:00,176.481,176.5,-188.88,long: close 179.64 > upper 179.21,stop
2020-03-19,1,3,2020-03-19 10:30:00-05:00,181.734,2020-03-19 14:52:00-05:00,178.191,176.18,-106.29,long: close 181.70 > upper 181.64,flatten
2020-04-14,1,5,2020-04-14 09:00:00-05:00,209.709,2020-04-14 14:52:00-05:00,211.61329999999998,206.13,95.21,long: close 209.69 > upper 208.70,flatten
2020-04-21,-1,5,2020-04-21 10:00:00-05:00,204.881,2020-04-21 14:52:00-05:00,205.189,208.61,-15.4,short: close 204.91 < lower 207.92,flatten
2020-04-28,-1,5,2020-04-28 10:00:00-05:00,212.301,2020-04-28 14:52:00-05:00,211.679,215.84,31.1,short: close 212.30 < lower 212.78,flatten
2020-05-14,-1,10,2020-05-14 09:00:00-05:00,216.581,2020-05-14 10:07:00-05:00,218.449,218.43,-186.8,short: close 216.54 < lower 216.91,stop
2020-05-19,1,12,2020-05-19 10:00:00-05:00,229.279,2020-05-19 14:50:00-05:00,227.681,227.70000000000002,-191.76,long: close 229.29 > upper 229.15,stop
2020-05-20,1,7,2020-05-20 09:00:00-05:00,230.939,2020-05-20 14:52:00-05:00,231.031,228.35,6.44,long: close 230.91 > upper 230.71,flatten
2020-05-21,-1,11,2020-05-21 10:30:00-05:00,228.981,2020-05-21 14:52:00-05:00,229.199,230.68,-23.98,short: close 228.99 < lower 229.71,flatten
2020-05-27,-1,12,2020-05-27 09:00:00-05:00,226.661,2020-05-27 13:00:00-05:00,228.209,228.19,-185.76,short: close 226.69 < lower 227.30,stop
2020-06-05,1,10,2020-06-05 09:00:00-05:00,238.149,2020-06-05 14:52:00-05:00,239.341,236.23000000000002,119.2,long: close 238.12 > upper 237.45,flatten
2020-06-24,-1,13,2020-06-24 09:00:00-05:00,246.221,2020-06-24 14:52:00-05:00,243.489,247.62,355.16,short: close 246.27 < lower 246.96,flatten
2020-06-25,-1,16,2020-06-25 09:00:00-05:00,242.62099999999998,2020-06-25 09:23:00-05:00,243.779,243.76,-185.28,short: close 242.65 < lower 242.71,stop
2020-06-26,-1,16,2020-06-26 09:00:00-05:00,244.411,2020-06-26 14:52:00-05:00,240.709,245.56,592.32,short: close 244.47 < lower 244.76,flatten
2020-06-29,-1,17,2020-06-29 09:00:00-05:00,238.90099999999998,2020-06-29 09:14:00-05:00,239.99900000000002,239.98000000000002,-186.66,short: close 238.89 < lower 238.95,stop
2020-06-30,1,17,2020-06-30 09:00:00-05:00,244.559,2020-06-30 14:52:00-05:00,247.65099999999998,243.47,525.64,long: close 244.55 > upper 243.84,flatten
2020-07-01,1,12,2020-07-01 09:30:00-05:00,249.054,2020-07-01 14:52:00-05:00,250.801,247.49,209.64,long: close 249.03 > upper 249.01,flatten
2020-07-06,1,6,2020-07-06 09:30:00-05:00,256.969,2020-07-06 14:52:00-05:00,258.121,253.84,69.12,long: close 256.97 > upper 256.90,flatten
2020-07-07,1,12,2020-07-07 09:30:00-05:00,260.029,2020-07-07 13:20:00-05:00,258.391,258.41,-196.56,long: close 260.00 > upper 259.86,stop
2020-07-10,-1,13,2020-07-10 09:00:00-05:00,260.391,2020-07-10 09:43:00-05:00,261.899,261.88,-196.04,short: close 260.47 < lower 260.49,stop
2020-07-20,1,10,2020-07-20 09:30:00-05:00,262.6914,2020-07-20 14:52:00-05:00,267.241,260.81,454.96,long: close 262.65 > upper 261.63,flatten
2020-07-27,1,9,2020-07-27 09:00:00-05:00,259.099,2020-07-27 10:28:00-05:00,257.091,257.11,-180.72,long: close 259.05 > upper 258.37,stop
2020-08-10,-1,12,2020-08-10 09:30:00-05:00,269.891,2020-08-10 14:52:00-05:00,269.964,271.49,-8.76,short: close 269.91 < lower 270.03,flatten
2020-08-12,1,8,2020-08-12 09:00:00-05:00,269.899,2020-08-12 14:52:00-05:00,271.981,267.59000000000003,166.56,long: close 269.87 > upper 268.60,flatten
2020-08-20,1,8,2020-08-20 10:30:00-05:00,278.074,2020-08-20 14:52:00-05:00,279.971,275.81,151.76,long: close 278.04 > upper 277.98,flatten
2020-09-03,-1,4,2020-09-03 09:30:00-05:00,294.201,2020-09-03 14:52:00-05:00,285.924,298.23,331.08,short: close 294.21 < lower 296.45,flatten
2020-09-04,-1,8,2020-09-04 09:00:00-05:00,281.501,2020-09-04 13:45:00-05:00,283.729,283.71,-178.24,short: close 281.58 < lower 284.28,stop
2020-09-30,1,8,2020-09-30 09:00:00-05:00,278.539,2020-09-30 14:52:00-05:00,278.861,276.34000000000003,25.76,long: close 278.52 > upper 278.18,flatten
2020-10-21,1,13,2020-10-21 09:00:00-05:00,287.209,2020-10-21 09:48:00-05:00,285.731,285.75,-192.14,long: close 287.19 > upper 286.03,stop
2020-10-22,-1,9,2020-10-22 10:00:00-05:00,282.121,2020-10-22 12:14:00-05:00,284.23900000000003,284.22,-190.62,short: close 282.17 < lower 282.52,stop
2020-10-26,-1,6,2020-10-26 10:30:00-05:00,280.301,2020-10-26 14:52:00-05:00,279.069,283.43,73.92,short: close 280.31 < lower 280.53,flatten
2020-10-28,-1,5,2020-10-28 09:00:00-05:00,275.76099999999997,2020-10-28 14:52:00-05:00,272.789,279.57,148.6,short: close 275.78 < lower 276.56,flatten
2020-10-29,1,7,2020-10-29 09:30:00-05:00,275.649,2020-10-29 14:52:00-05:00,278.221,273.09000000000003,180.04,long: close 275.62 > upper 274.94,flatten
2020-10-30,-1,7,2020-10-30 09:00:00-05:00,272.381,2020-10-30 14:52:00-05:00,268.194,275.12,293.09,short: close 272.44 < lower 272.57,flatten
2020-11-03,1,5,2020-11-03 09:30:00-06:00,275.73900000000003,2020-11-03 14:52:00-06:00,275.611,272.35,-6.4,long: close 275.72 > upper 274.35,flatten
2020-11-04,1,3,2020-11-04 09:30:00-06:00,286.92900000000003,2020-11-04 14:52:00-06:00,287.01099999999997,280.93,2.46,long: close 286.90 > upper 286.45,flatten
2020-11-06,-1,8,2020-11-06 09:00:00-06:00,290.201,2020-11-06 09:28:00-06:00,292.639,292.62,-195.04,short: close 290.20 < lower 291.51,stop
2020-11-10,-1,4,2020-11-10 09:30:00-06:00,282.041,2020-11-10 14:52:00-06:00,283.2191,286.82,-47.12,short: close 282.07 < lower 282.09,flatten
2020-11-30,-1,11,2020-11-30 10:00:00-06:00,296.701,2020-11-30 12:45:00-06:00,298.499,298.48,-197.78,short: close 296.71 < lower 297.52,stop
2020-12-07,1,16,2020-12-07 09:00:00-06:00,307.0072,2020-12-07 14:52:00-06:00,306.461,305.85,-87.39,long: close 306.93 > upper 306.81,flatten
2020-12-08,-1,12,2020-12-08 09:30:00-06:00,305.371,2020-12-08 10:59:00-06:00,306.949,306.93,-189.36,short: close 305.40 < lower 305.46,stop
2020-12-10,1,8,2020-12-10 10:00:00-06:00,303.204,2020-12-10 14:52:00-06:00,303.061,300.8,-11.44,long: close 303.20 > upper 302.71,flatten
2020-12-14,1,12,2020-12-14 09:00:00-06:00,305.419,2020-12-14 14:50:00-06:00,303.781,303.8,-196.56,long: close 305.39 > upper 304.11,stop
2020-12-21,-1,6,2020-12-21 09:30:00-06:00,304.651,2020-12-21 11:38:00-06:00,307.869,307.85,-193.08,short: close 304.68 < lower 304.98,stop
2021-01-04,-1,10,2021-01-04 10:00:00-06:00,310.961,2021-01-04 14:52:00-06:00,309.419,312.91,154.2,short: close 310.96 < lower 312.40,flatten
2021-01-05,1,12,2021-01-05 09:00:00-06:00,310.789,2021-01-05 10:18:00-06:00,309.221,309.24,-188.16,long: close 310.76 > upper 310.32,stop
2021-01-07,1,7,2021-01-07 09:00:00-06:00,313.019,2021-01-07 14:52:00-06:00,315.611,310.48,181.44,long: close 312.93 > upper 311.47,flatten
2021-01-13,1,9,2021-01-13 10:00:00-06:00,316.1691,2021-01-13 14:52:00-06:00,316.061,314.19,-9.73,long: close 316.16 > upper 316.07,flatten
2021-01-15,-1,9,2021-01-15 09:30:00-06:00,311.741,2021-01-15 10:40:00-06:00,313.729,313.71,-178.92,short: close 311.73 < lower 312.22,stop
2021-01-20,1,5,2021-01-20 09:30:00-06:00,322.42900000000003,2021-01-20 14:52:00-06:00,324.241,318.62,90.6,long: close 322.42 > upper 322.11,flatten
