day,pnl,low,high,trades,halted
2022-08-30,122.0,-12.25,198.19,1,
2022-08-31,0.0,0.0,0.0,0,
2022-09-01,-142.0,-142.0,5.72,1,
2022-09-02,0.0,0.0,0.0,0,
2022-09-06,-240.0,-302.25,45.5,2,
2022-09-07,934.5,-101.27,1013.26,1,
2022-09-08,-159.75,-159.75,41.53,1,
2022-09-09,113.75,0.0,155.75,1,
2022-09-12,-112.5,-112.5,31.25,1,
2022-09-13,0.0,0.0,0.0,0,
2022-09-14,0.0,0.0,0.0,0,
2022-09-15,0.0,0.0,0.0,0,
2022-09-16,0.0,0.0,0.0,0,
2022-09-19,0.0,0.0,0.0,0,
2022-09-20,0.0,0.0,0.0,0,
2022-09-21,0.0,0.0,0.0,0,
2022-09-22,-182.0,-182.0,135.49,1,
2022-09-23,14.5,-49.25,220.0,1,
2022-09-26,-220.0,-252.25,0.0,2,
2022-09-27,-63.0,-114.25,54.25,1,
2022-09-28,257.5,-24.25,282.25,1,
2022-09-29,8.5,-74.25,167.75,1,
2022-09-30,-118.0,-118.0,5.25,1,
2022-10-03,110.25,-48.25,203.25,1,
2022-10-04,0.0,0.0,0.0,0,
2022-10-05,0.0,0.0,0.0,0,
2022-10-06,0.0,0.0,0.0,0,
2022-10-07,114.0,-76.75,224.75,1,
2022-10-10,-30.5,-101.25,120.75,1,
2022-10-11,-128.5,-128.5,33.75,1,
2022-10-12,0.0,0.0,0.0,0,
2022-10-13,0.0,0.0,0.0,0,
2022-10-14,181.64,-74.11,224.89,1,
2022-10-17,0.0,0.0,0.0,0,
2022-10-18,0.0,0.0,0.0,0,
2022-10-19,0.0,0.0,0.0,0,
2022-10-20,-145.0,-145.0,0.0,1,
2022-10-21,47.5,-191.75,115.5,2,
2022-10-24,0.0,0.0,0.0,0,
2022-10-25,236.5,-114.5,277.5,1,
2022-10-26,0.0,0.0,0.0,0,
2022-10-27,0.0,0.0,0.0,0,
2022-10-28,325.0,-78.75,327.25,1,
2022-10-31,0.0,0.0,0.0,0,
2022-11-01,0.0,0.0,0.0,0,
2022-11-02,0.0,0.0,0.0,0,
2022-11-03,-178.5,-178.5,0.75,1,
2022-11-04,0.0,0.0,0.0,0,
2022-11-07,0.0,0.0,0.0,0,
2022-11-08,-150.0,-150.0,48.75,1,
2022-11-09,0.0,0.0,0.0,0,
2022-11-10,0.0,0.0,0.0,0,
2022-11-11,0.0,0.0,0.0,0,
2022-11-14,0.0,0.0,0.0,0,
2022-11-15,0.0,0.0,0.0,0,
2022-11-16,0.0,0.0,0.0,0,
2022-11-17,0.0,0.0,0.0,0,
2022-11-18,0.0,0.0,0.0,0,
2022-11-21,0.0,0.0,0.0,0,
2022-11-22,0.0,0.0,0.0,0,
2022-11-23,-192.0,-192.0,146.25,1,
2022-11-25,0.0,0.0,0.0,0,
2022-11-28,41.5,-7.75,69.4,1,
2022-11-29,-134.0,-134.0,0.0,1,
2022-11-30,135.0,-182.25,148.25,2,
2022-12-01,-187.0,-187.0,48.5,1,
2022-12-02,0.0,0.0,0.0,0,
2022-12-05,160.0,0.0,208.75,1,
2022-12-06,613.0,-31.0,1091.0,1,
2022-12-07,0.0,0.0,0.0,0,
2022-12-08,-94.0,-146.5,93.5,1,
2022-12-09,0.0,0.0,0.0,0,
2022-12-12,106.75,-31.75,144.0,1,
2022-12-13,0.0,0.0,0.0,0,
2022-12-14,-152.25,-152.25,201.0,1,
2022-12-15,102.5,-12.25,174.25,1,
2022-12-16,0.0,0.0,0.0,0,
2022-12-19,10.5,0.0,74.75,1,
2022-12-20,0.0,0.0,0.0,0,
2022-12-21,-58.0,-58.0,37.75,1,
2022-12-22,66.5,0.0,336.75,1,
2022-12-23,-165.5,-165.5,0.0,1,
2022-12-27,-178.5,-178.5,117.75,1,
2022-12-28,103.5,-54.24,125.25,1,
2022-12-29,110.5,-7.25,132.5,1,
2022-12-30,0.0,0.0,0.0,0,
2023-01-03,-95.5,-97.0,51.75,1,
2023-01-04,0.0,0.0,0.0,0,
2023-01-05,37.75,-67.5,58.76,1,
2023-01-06,135.5,-11.75,191.75,1,
2023-01-09,-121.5,-121.5,96.75,1,
2023-01-10,0.0,0.0,0.0,0,
