day,side,notional,entry_ts,entry_s,exit_ts,exit_s,pnl,reason_out,costs,qty
2022-04-25,-1,47253,2022-04-25 09:30:00-05:00,0.00984,2022-04-25 14:52:00-05:00,0.00669,226.41,flatten,15.57,1
2022-04-26,1,44531,2022-04-26 09:30:00-05:00,-0.00934,2022-04-26 14:52:00-05:00,-0.00971,4.1,flatten,14.74,1
2022-05-04,1,46238,2022-05-04 09:30:00-05:00,-0.00684,2022-05-04 12:00:00-05:00,-0.00265,194.51,reverted,15.58,1
2022-05-05,1,45431,2022-05-05 09:30:00-05:00,-0.0097,2022-05-05 14:52:00-05:00,-0.01161,-98.48,flatten,15.22,1
2022-05-11,1,50653,2022-05-11 12:00:00-05:00,-0.00619,2022-05-11 14:52:00-05:00,-0.00904,-179.36,flatten,17.99,1
2022-05-12,-1,53661,2022-05-12 09:30:00-05:00,0.00938,2022-05-12 13:00:00-05:00,0.00168,403.28,reverted,19.3,1
2022-05-13,-1,46235,2022-05-13 11:30:00-05:00,0.00761,2022-05-13 14:52:00-05:00,0.00821,1.22,flatten,16.16,1
2022-05-20,1,47236,2022-05-20 11:30:00-05:00,-0.00935,2022-05-20 14:52:00-05:00,-0.00646,80.13,flatten,17.38,1
2022-05-24,1,60000,2022-05-24 09:30:00-05:00,-0.00539,2022-05-24 14:52:00-05:00,-0.0067,-27.74,flatten,21.91,1
2022-05-26,-1,60000,2022-05-26 09:30:00-05:00,0.00875,2022-05-26 11:30:00-05:00,0.01483,-363.78,stop,21.08,1
2022-06-02,-1,57086,2022-06-02 09:30:00-05:00,0.00562,2022-06-02 12:00:00-05:00,0.0106,-294.52,stop,19.69,1
2022-06-03,1,49637,2022-06-03 10:30:00-05:00,-0.00626,2022-06-03 14:52:00-05:00,-0.00522,29.48,flatten,17.07,1
2022-06-16,1,48576,2022-06-16 13:00:00-05:00,-0.00625,2022-06-16 14:52:00-05:00,-0.00473,35.52,flatten,18.78,1
2022-06-17,-1,60000,2022-06-17 10:30:00-05:00,0.00668,2022-06-17 14:52:00-05:00,0.00838,-84.06,flatten,23.03,1
2022-06-21,-1,60000,2022-06-21 09:30:00-05:00,0.00472,2022-06-21 13:30:00-05:00,0.00105,218.35,reverted,22.47,1
2022-06-27,1,60000,2022-06-27 09:30:00-05:00,-0.0051,2022-06-27 14:52:00-05:00,-0.00583,-82.31,flatten,21.71,1
2022-06-28,1,60000,2022-06-28 10:30:00-05:00,-0.00557,2022-06-28 14:52:00-05:00,-0.00847,-172.33,flatten,21.91,1
2022-06-30,1,60000,2022-06-30 09:30:00-05:00,-0.00723,2022-06-30 10:30:00-05:00,-0.00127,367.34,reverted,22.7,1
2022-07-05,-1,60000,2022-07-05 09:30:00-05:00,0.0081,2022-07-05 10:00:00-05:00,0.0113,-191.36,stop,22.58,1
2022-07-07,-1,60000,2022-07-07 09:30:00-05:00,0.00514,2022-07-07 14:52:00-05:00,0.00816,-195.49,flatten,21.75,1
2022-07-08,-1,53274,2022-07-08 10:30:00-05:00,0.00728,2022-07-08 14:52:00-05:00,0.0076,18.35,flatten,19.11,1
2022-07-11,1,54686,2022-07-11 09:30:00-05:00,-0.00707,2022-07-11 14:52:00-05:00,-0.00924,-118.45,flatten,19.98,1
2022-07-12,1,51249,2022-07-12 09:30:00-05:00,-0.00715,2022-07-12 14:52:00-05:00,-0.00708,19.37,flatten,18.81,1
2022-07-13,-1,49064,2022-07-13 09:30:00-05:00,0.00644,2022-07-13 14:52:00-05:00,0.00773,-63.99,flatten,18.3,1
2022-07-20,-1,46050,2022-07-20 10:00:00-05:00,0.00679,2022-07-20 14:52:00-05:00,0.00821,-56.71,flatten,16.23,1
2022-07-26,1,46010,2022-07-26 13:00:00-05:00,-0.0066,2022-07-26 14:52:00-05:00,-0.0066,-10.43,flatten,16.52,1
2022-07-27,-1,45185,2022-07-27 11:30:00-05:00,0.0069,2022-07-27 14:52:00-05:00,0.00873,-74.08,flatten,15.91,1
2022-08-01,-1,59969,2022-08-01 10:00:00-05:00,0.00537,2022-08-01 12:30:00-05:00,0.00074,273.93,reverted,20.22,1
2022-08-02,-1,56154,2022-08-02 11:30:00-05:00,0.00789,2022-08-02 14:52:00-05:00,0.00685,64.53,flatten,18.96,1
2022-08-03,-1,60000,2022-08-03 09:30:00-05:00,0.00711,2022-08-03 12:30:00-05:00,0.01048,-204.72,stop,20.26,1
2022-08-09,1,48614,2022-08-09 11:30:00-05:00,-0.00627,2022-08-09 14:52:00-05:00,-0.00328,185.33,flatten,16.51,1
2022-08-16,1,60000,2022-08-16 09:30:00-05:00,-0.00571,2022-08-16 14:52:00-05:00,-0.00373,122.43,flatten,19.53,1
2022-08-17,1,60000,2022-08-17 10:00:00-05:00,-0.00546,2022-08-17 14:52:00-05:00,-0.00348,110.5,flatten,19.67,1
2022-08-19,1,60000,2022-08-19 12:30:00-05:00,-0.00491,2022-08-19 14:52:00-05:00,-0.00349,98.59,flatten,19.83,1
2022-08-26,1,60000,2022-08-26 10:00:00-05:00,-0.00377,2022-08-26 13:30:00-05:00,-0.00653,-165.48,stop,20.34,1
2022-08-30,1,60000,2022-08-30 09:30:00-05:00,-0.0032,2022-08-30 14:52:00-05:00,-0.00266,-13.55,flatten,21.04,1
2022-08-31,1,60000,2022-08-31 10:00:00-05:00,-0.00508,2022-08-31 14:52:00-05:00,-0.00364,159.83,flatten,21.13,1
2022-09-01,1,60000,2022-09-01 10:30:00-05:00,-0.0064,2022-09-01 14:30:00-05:00,-0.00109,323.84,reverted,21.59,1
2022-09-02,1,57170,2022-09-02 13:00:00-05:00,-0.00585,2022-09-02 14:52:00-05:00,-0.00363,106.45,flatten,20.49,1
2022-09-06,1,60000,2022-09-06 09:30:00-05:00,-0.00419,2022-09-06 11:00:00-05:00,-0.00122,191.47,reverted,21.63,1
2022-09-13,1,60000,2022-09-13 10:30:00-05:00,-0.00518,2022-09-13 14:52:00-05:00,-0.00561,-7.06,flatten,21.23,1
2022-09-15,1,60000,2022-09-15 10:00:00-05:00,-0.0057,2022-09-15 14:52:00-05:00,-0.0032,129.09,flatten,21.63,1
2022-09-20,-1,60000,2022-09-20 09:30:00-05:00,0.00394,2022-09-20 14:52:00-05:00,0.00298,72.91,flatten,21.96,1
2022-09-21,-1,60000,2022-09-21 14:00:00-05:00,0.00599,2022-09-21 14:52:00-05:00,0.00124,256.27,flatten,21.73,1
2022-09-26,-1,60000,2022-09-26 09:30:00-05:00,0.00572,2022-09-26 14:52:00-05:00,0.00282,162.98,flatten,22.77,1
2022-09-29,1,60000,2022-09-29 10:00:00-05:00,-0.00321,2022-09-29 13:00:00-05:00,-0.0058,-152.89,stop,23.28,1
2022-09-30,-1,60000,2022-09-30 09:30:00-05:00,0.00321,2022-09-30 13:00:00-05:00,3e-05,190.73,reverted,23.23,1
