day,side,qty,entry_ts,entry_px,exit_ts,exit_px,stop_px,pnl,reason_in,reason_out
2016-04-12,1,3,2016-04-12 13:00:00-05:00,109.30900000000001,2016-04-12 14:52:00-05:00,109.401,108.7,22.08,long: close 109.28 > upper 109.24,flatten
2016-04-13,1,3,2016-04-13 09:00:00-05:00,110.744,2016-04-13 10:00:00-05:00,110.491,110.13,-60.72,long: close 110.72 > upper 110.53,exit long: close 110.52 < upper 110.76
2016-04-18,1,5,2016-04-18 09:30:00-05:00,111.159,2016-04-18 10:30:00-05:00,110.871,110.71000000000001,-115.2,long: close 111.14 > upper 110.94,exit long: close 110.90 < upper 111.08
2016-04-19,-1,5,2016-04-19 09:00:00-05:00,110.651,2016-04-19 09:30:00-05:00,110.959,110.94,-123.2,short: close 110.68 < lower 111.04,stop
2016-04-19,-1,4,2016-04-19 10:30:00-05:00,110.636,2016-04-19 14:52:00-05:00,110.569,111.18,21.44,short: close 110.66 < lower 110.79,flatten
2016-04-20,1,4,2016-04-20 10:30:00-05:00,111.069,2016-04-20 11:00:00-05:00,110.92099999999999,110.59,-47.36,long: close 111.03 > upper 111.02,exit long: close 110.94 < upper 111.03
2016-04-21,-1,5,2016-04-21 09:00:00-05:00,110.241,2016-04-21 09:23:00-05:00,110.489,110.47,-99.2,short: close 110.27 < lower 110.37,stop
2016-04-22,-1,2,2016-04-22 09:30:00-05:00,108.76599999999999,2016-04-22 13:30:00-05:00,108.98400000000001,109.77,-34.88,short: close 108.79 < lower 108.92,exit short: close 108.97 > lower 108.71
2016-04-26,-1,5,2016-04-26 09:30:00-05:00,108.651,2016-04-26 10:30:00-05:00,108.60900000000001,109.06,16.8,short: close 108.67 < lower 108.68,exit short: close 108.58 > lower 108.52
2016-04-26,-1,3,2016-04-26 13:00:00-05:00,108.431,2016-04-26 14:52:00-05:00,108.41900000000001,109.03,2.88,short: close 108.45 < lower 108.49,flatten
2016-04-27,-1,2,2016-04-27 09:30:00-05:00,106.821,2016-04-27 10:30:00-05:00,107.24900000000001,107.71000000000001,-68.48,short: close 106.84 < lower 107.01,exit short: close 107.24 > lower 106.90
2016-04-28,1,5,2016-04-28 09:00:00-05:00,107.99900000000001,2016-04-28 09:30:00-05:00,107.991,107.73,-3.2,long: close 107.98 > upper 107.91,exit long: close 108.00 < upper 108.01
2016-04-28,1,5,2016-04-28 10:00:00-05:00,108.284,2016-04-28 11:30:00-05:00,107.911,107.88,-149.2,long: close 108.26 > upper 108.04,exit long: close 107.93 < upper 108.11
2016-04-29,-1,5,2016-04-29 09:00:00-05:00,105.681,2016-04-29 09:37:00-05:00,105.97900000000001,105.96000000000001,-119.2,short: close 105.71 < lower 105.99,stop
2016-04-29,-1,5,2016-04-29 10:00:00-05:00,105.491,2016-04-29 12:24:00-05:00,105.909,105.89,-167.2,short: close 105.51 < lower 105.86,stop
2016-05-02,1,4,2016-05-02 13:30:00-05:00,106.489,2016-05-02 14:52:00-05:00,106.756,105.94,85.44,long: close 106.47 > upper 106.39,flatten
2016-05-09,1,5,2016-05-09 09:00:00-05:00,106.16900000000001,2016-05-09 09:25:00-05:00,105.871,105.89,-119.2,long: close 106.16 > upper 105.88,stop
2016-05-09,1,5,2016-05-09 11:30:00-05:00,106.089,2016-05-09 13:00:00-05:00,106.0111,105.75,-31.16,long: close 106.07 > upper 105.94,exit long: close 106.04 < upper 106.04
2016-05-10,1,4,2016-05-10 10:00:00-05:00,106.769,2016-05-10 14:52:00-05:00,107.291,106.22,167.04,long: close 106.75 > upper 106.61,flatten
2016-05-11,-1,4,2016-05-11 13:00:00-05:00,106.681,2016-05-11 14:52:00-05:00,106.38900000000001,107.2,93.44,short: close 106.71 < lower 106.72,flatten
2016-05-12,-1,5,2016-05-12 09:00:00-05:00,106.021,2016-05-12 13:30:00-05:00,106.159,106.41,-55.2,short: close 106.03 < lower 106.13,exit short: close 106.15 > lower 105.93
2016-05-13,1,5,2016-05-13 10:30:00-05:00,106.4,2016-05-13 11:00:00-05:00,106.146,105.98,-101.6,long: close 106.39 > upper 106.30,exit long: close 106.17 < upper 106.27
2016-05-13,1,5,2016-05-13 11:30:00-05:00,106.259,2016-05-13 11:58:00-05:00,105.881,105.9,-151.2,long: close 106.24 > upper 106.24,stop
2016-05-16,1,5,2016-05-16 09:00:00-05:00,106.049,2016-05-16 09:30:00-05:00,105.95769999999999,105.7,-36.52,long: close 106.02 > upper 105.94,exit long: close 105.96 < upper 105.97
2016-05-16,1,5,2016-05-16 10:00:00-05:00,106.30890000000001,2016-05-16 14:52:00-05:00,106.881,105.87,228.84,long: close 106.29 > upper 106.03,flatten
2016-05-17,-1,5,2016-05-17 09:30:00-05:00,106.223,2016-05-17 10:00:00-05:00,106.459,106.54,-94.4,short: close 106.25 < lower 106.46,exit short: close 106.45 > lower 106.38
2016-05-17,-1,5,2016-05-17 11:30:00-05:00,106.282,2016-05-17 14:52:00-05:00,105.49900000000001,106.71000000000001,313.2,short: close 106.30 < lower 106.35,flatten
2016-05-18,1,5,2016-05-18 09:30:00-05:00,106.21900000000001,2016-05-18 09:58:00-05:00,105.831,105.85000000000001,-155.2,long: close 106.21 > upper 105.76,stop
2016-05-18,1,5,2016-05-18 10:00:00-05:00,105.88900000000001,2016-05-18 11:30:00-05:00,105.86099999999999,105.45,-11.2,long: close 105.86 > upper 105.83,exit long: close 105.88 < upper 105.90
2016-05-19,-1,4,2016-05-19 09:00:00-05:00,104.916,2016-05-19 12:30:00-05:00,104.979,105.42,-20.16,short: close 104.94 < lower 105.15,exit short: close 104.95 > lower 104.93
2016-05-20,1,4,2016-05-20 09:00:00-05:00,106.44900000000001,2016-05-20 14:52:00-05:00,106.39099999999999,105.94,-18.56,long: close 106.43 > upper 106.04,flatten
2016-05-24,1,3,2016-05-24 09:00:00-05:00,107.46900000000001,2016-05-24 14:52:00-05:00,108.511,106.82000000000001,250.08,long: close 107.44 > upper 107.26,flatten
2016-06-02,-1,5,2016-06-02 09:00:00-05:00,109.651,2016-06-02 09:30:00-05:00,110.019,110.08,-147.2,short: close 109.67 < lower 109.80,exit short: close 110.00 > lower 109.71
2016-06-03,-1,5,2016-06-03 09:00:00-05:00,109.83099999999999,2016-06-03 11:00:00-05:00,110.10900000000001,110.25,-111.2,short: close 109.87 < lower 110.06,exit short: close 110.09 > lower 109.88
2016-06-10,-1,2,2016-06-10 13:00:00-05:00,108.841,2016-06-10 14:52:00-05:00,108.899,109.67,-9.28,short: close 108.86 < lower 108.87,flatten
2016-06-14,1,5,2016-06-14 09:00:00-05:00,108.289,2016-06-14 09:17:00-05:00,107.911,107.93,-151.2,long: close 108.28 > upper 108.26,stop
2016-06-14,-1,5,2016-06-14 10:00:00-05:00,107.411,2016-06-14 11:25:00-05:00,107.849,107.83,-175.2,short: close 107.42 < lower 107.49,stop
2016-06-16,-1,4,2016-06-16 09:00:00-05:00,106.771,2016-06-16 10:30:00-05:00,107.004,107.27,-74.56,short: close 106.80 < lower 106.95,exit short: close 106.99 > lower 106.94
2016-06-16,-1,5,2016-06-16 11:00:00-05:00,106.711,2016-06-16 11:22:00-05:00,107.16900000000001,107.15,-183.2,short: close 106.72 < lower 107.00,stop
